,date,median_salary,mean_salary,population_size,number_of_jobs,area_size,borough_flag,average_price,houses_sold,no_of_crimes,area_barnet,area_bexley,area_brent,area_bromley,area_camden,area_city of london,area_croydon,area_ealing,area_east,area_east midlands,area_enfield,area_england,area_england and wales,area_great britain,area_greenwich,area_hackney,area_hammersmith and fulham,area_haringey,area_harrow,area_havering,area_hillingdon,area_hounslow,area_inner london,area_islington,area_kensington and chelsea,area_kingston upon thames,area_lambeth,area_lewisham,area_london,area_merton,area_newham,area_north east,area_north west,area_northern ireland,area_outer london,area_redbridge,area_richmond upon thames,area_scotland,area_south east,area_south west,area_southwark,area_sutton,area_tower hamlets,area_united kingdom,area_wales,area_waltham forest,area_wandsworth,area_west midlands,area_westminster,area_yorkshire and the humber
0,1999,21480.0,23620,162444.0,3188094.522019334,4323.0,1,64877.166666666664,2599.0,44789.72198324149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2000,22618.0,24696,163893.0,57000.0,4323.0,1,76473.33333333333,2795.0,46948.074046690825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2001,22323.0,26050,165654.0,54000.0,3780.0,1,87415.16666666667,3241.0,48715.8533853116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2002,24813.0,26653,166357.0,52000.0,3780.0,1,109305.5,3426.0,50374.68671864493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2003,25358.0,27792,166210.0,55000.0,3780.0,1,140999.66666666666,3511.0,52129.77005197827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2004,26089.0,29088,165610.0,53000.0,3780.0,1,156973.58333333334,3782.0,53907.68671864493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2005,26680.0,28728,166275.0,53000.0,3780.0,1,163484.91666666666,2835.0,55631.68671864493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2006,26549.0,28660,167157.0,51000.0,3780.0,1,166883.0,3589.0,57438.02005197827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2007,30200.0,31994,169031.0,52000.0,3780.0,1,183395.25,4046.0,59073.77005197827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2008,29396.0,31795,172452.0,53000.0,3780.0,1,189251.5,1866.0,60702.02005197827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2009,30973.0,33126,177580.0,47000.0,3780.0,1,157183.0,1164.0,62358.6033853116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2010,28527.0,32996,182838.0,51000.0,3780.0,1,166094.41666666666,1519.0,63999.1033853116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2011,28201.0,33568,187029.0,54000.0,3780.0,1,163786.25,1468.0,65541.3533853116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2012,33131.0,37059,190560.0,55000.0,3780.0,1,165432.08333333334,1339.0,66995.1033853116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2013,32248.0,37214,194352.0,54000.0,3780.0,1,172459.83333333334,1690.0,68385.18671864494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2014,32698.0,36323,198294.0,59000.0,3780.0,1,198240.08333333334,2172.0,69731.8533853116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2015,33018.0,36705,201979.0,62000.0,3780.0,1,230555.08333333334,2467.0,71147.18671864494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2016,30994.0,37959,206460.0,63000.0,3780.0,1,271213.3333333333,2286.0,72632.3533853116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2017,28553.0,32093,210711.0,66000.0,3780.0,1,287127.0833333333,2044.0,74179.02005197827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2018,29995.0,32671,211998.0,66000.0,3780.0,1,294513.4166666667,1972.0,75695.68671864494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
